M	0	1	1	1	1
S	0	0	0	0	1
M	1	1	1	1	1
S	1	0	0	0	1
M	2	1	1	1	1
S	2	0	0	0	1
M	3	1	1	1	1
S	3	0	0	0	1
M	4	1	1	1	1
S	4	0	0	0	1
M	5	1	1	1	1
S	5	0	0	0	1
M	6	1	1	1	1
S	6	0	0	0	1
M	7	1	1	1	1
S	7	0	0	0	1
M	8	1	1	1	1
S	8	0	0	0	1
M	9	1	1	1	1
S	9	0	0	0	1
M	10	1	1	1	1
S	10	0	0	0	1
M	11	1	1	1	1
S	11	0	0	0	1
M	12	1	1	1	1
S	12	0	0	0	1
M	13	1	1	1	1
S	13	0	0	0	1
M	14	1	1	1	1
S	14	0	0	0	1
M	15	1	1	1	1
S	15	0	0	0	1
M	16	1	1	1	1
S	16	0	0	0	1
M	17	1	1	1	1
S	17	0	0	0	1
M	18	1	1	1	1
S	18	0	0	0	1
M	19	1	1	1	1
S	19	0	0	0	1
M	20	1	1	1	1
S	20	0	0	0	1
M	21	1	1	1	1
S	21	0	0	0	1
M	22	1	1	1	1
S	22	0	0	0	1
M	23	1	1	1	1
S	23	0	0	0	1
M	24	1	1	1	1
S	24	0	0	0	1
M	25	1	1	1	1
S	25	0	0	0	1
M	26	1	1	1	1
S	26	0	0	0	1
M	27	1	1	1	1
S	27	0	0	0	1
M	28	1	1	1	1
S	28	0	0	0	1
